Address,Account No.,Age,Class,Units,GBA,NRA,Land Area,Stories,Bedroom,Appraised Value
950 VILLA DE MATEL RD # 241,1045500000002,54,3,241,"1,94,782","1,88,040","3,31,248",2,2,17644395
1105 DUMONT ST # 38,0341650280001,49,2,38,"30,309","27,976","42,600",2,1,919637
11211 S POST OAK RD # 82,0410910000005,60,3,82,"67,564","66,910","97,862",2,2,4514992
12108 NEFF ST # 20,1020380000003,44,2,20,"26,520","26,520","55,461",2,1,1005087
13039 MARKET ST # 57,0642250010008,66,2,57,"28,743","21,618","1,17,500",2,1,1103976
4040 SYNOTT RD # 255,1152040000031,39,3,255,"2,39,179","2,38,459","4,75,667",2,2,14500000
1325 CEDAR POST LN # 52,0681430000020,49,3,52,"50,793","47,997","68,084",2,3,3548584
1353 JUDIWAY ST # 32,0432050050010,62,3,32,"26,962","22,480","43,316",2,1,1839443
13919 TEXARKANA ST # 52,0650710850007,40,3,52,"36,120","34,860","52,500",2,2,2777179
13932 VICTORIA ST # 46,0650710790012,36,3,46,"24,627","22,826","42,000",2,1,2129341
1419 HYDE PARK BLVD # 26,0180060000019,57,1,26,"11,568","11,568","11,250",2,1,1359540
1600 W T C JESTER BLVD # 96,0913250000013,52,4,96,"69,129","64,600","1,21,315",2,2,11360805
1648 W ALABAMA ST # 36,0540550090001,72,4,36,"18,073","17,300","18,750",2,1,2849195
166 WINKLER DR # 96,0450660000065,62,2,96,"82,237","69,000","87,011",2,2,2899732
1705 W 34TH ST # 48,0580930000021,54,1,48,"33,024","33,024","65,279",2,1,2137931
1714 WIRT RD # 117,0700290090008,56,4,117,"1,26,813","85,215","1,36,343",2,1,9799896
17206 IMPERIAL VALLEY DR # 59,1088270000006,38,2,59,"65,095","55,454","95,849",3,2,2107180
1742 WOODVINE DR # 105,0421300010198,62,4,105,"68,956","67,740","1,06,269",2,2,8761981
1915 BRANARD ST # 22,0382200000001,62,1,22,"14,383","14,383","15,625",2,1,1543870
2010 JOHANNA DR # 30,0700290040008,64,2,30,"22,958","21,200","44,025",2,1,1022648
2020 W MAIN ST # 22,0561230000019,57,4,22,"10,785","12,700","14,000",2,1,1940818
219 W ALABAMA ST # 32,0082590000003,64,4,32,"14,610","13,675","15,625",2,1,2252190
2203 ALDINE MAIL ROUTE RD # 65,0250460000354,62,3,65,"61,098","54,660","1,36,778",2,3,3465689
221 CAYLOR ST # 36,0280010060006,63,3,36,"17,908","17,908","33,314",1,1,1783515
2601 RIVERSIDE DR # 68,0611260330017,62,3,68,"47,968","47,758","72,680",2,2,2450000
2900 BRIARHURST DR # 129,0951520000021,43,4,129,"1,50,409","1,41,995","1,94,761",2,1,15047612
2811 BROAD ST # 36,0582350020016,58,3,36,"26,234","22,488","40,000",2,1,1825000
2930 PLUM CREEK LN # 78,1352040010001,8,5,78,"69,066","67,075","98,925",3,2,9096960
